"","enj_swip","gender","orientation","rel_status","da_usage","y_single","rec_friend","met_online","dates","pay","picky","body_types","rate_yourself","snap_easy","snap_time","snap_dating","insta_easy","insta_time","insta_dating","tik_easy","tik_time","tik_dating","tin_easy","tin_time","tin_dating","hin_easy","hin_time","hin_dating","bum_easy","bum_time","bum_dating","con_level"
"133","No","Male","straight","InRelation","User",NA,"No","Offline","Female","Male","Women","Triangle",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"high"
"134","No","Female","straight","InRelation","NonUser",NA,"No","Online","Female","Male","Equal","Mesomorph",8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,"high"
"135","No","Female","bi","InRelation","NonUser",NA,"Yes","Offline","Equal","Male","Equal","Hour Glass",9,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,"high"
"136","Yes","Female","straight","Single","NonUser","cant_find","No",NA,"Male","Male","Men","Ectomorph",9,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"high"
"137","No","Male","straight","Single","NonUser","cant_find","No",NA,"Equal","Male","Equal","Inverted Triangle",8,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,"high"
"138","No","Male","straight","Single","NonUser","cant_find","No",NA,"Female","Male","Equal","Hour Glass",7,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,"high"
"139","Yes","Male","straight","InRelation","User",NA,"Yes","Online","Female","Male","Equal","Triangle",8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"high"
"140","Yes","Female","straight","InRelation","User",NA,"Yes","Online","Female","Male","Women","Mesomorph",8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"high"
"141","Yes","Female","bi","Single","User","cant_find","No",NA,"Male","Split","Men","Endomorph",3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,"low"
"142","Yes","Female","bi","Single","NonUser","cant_find","Yes",NA,"Female","Split","Men","Hour Glass",10,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"high"
"143","Yes","Female","bi","Single","NonUser","doesnt_want","No",NA,"Equal","Split","Equal","Endomorph",7,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,"high"
"144","No","Male","gay_lesbian","Single","NonUser","doesnt_want","No",NA,"Male","Male","Men","Oval",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"high"
"145","No","Female","straight","Single","NonUser","doesnt_want","No",NA,"Male","Split","Men","Endomorph",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"146","No","Male","straight","InRelation","NonUser",NA,"No","Offline","Female","Male","Women","Hour Glass",4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"low"
"147","No","Female","bi","InRelation","User",NA,"No","Offline","Female","Split","Women","Ectomorph",7,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,"high"
"148","Yes","Male","straight","Single","NonUser","cant_find","No",NA,"Equal","Male","Women","Hour Glass",7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"high"
"149","No","Female","straight","InRelation","NonUser",NA,"No","Online","Male","Male","Men","Endomorph",4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"low"
"150","No","Female","straight","InRelation","NonUser",NA,"No","Offline","Equal","Split","Men","Endomorph",5,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,"low"
